user_id,order_number,price,paid_time
1436836,2.11E+15,100,2019/6/15 14:30
1436836,2.11E+15,100,2019/6/15 14:40
1436836,2.11E+15,100,2019/6/15 15:11
1437060,2.11E+15,100,2019/6/15 15:27
1437060,2.11E+15,100,2019/6/15 15:32
1437137,2.11E+15,100,2019/6/15 15:54
1436836,2.11E+15,100,2019/6/15 15:59
1437088,2.11E+15,100,2019/6/15 16:05
1437088,2.11E+15,100,2019/6/15 16:11
1436836,2.11E+15,100,2019/6/15 16:13
1437088,2.11E+15,100,2019/6/15 16:19
1437088,2.11E+15,100,2019/6/15 16:34
1436516,2.11E+15,100,0000/0/0 00:00:00
1437088,2.11E+15,100,2019/6/15 16:43
1436863,3.12E+15,100,0000/0/0 00:00:00
1436863,3.12E+15,100,0000/0/0 00:00:00
1436863,3.12E+15,100,0000/0/0 00:00:00
